country,improvement,region,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018
Gambia,9.68,Africa,0.131,0.129,0.138,0.146,0.151,0.151,0.145,0.129,0.113,0.1,0.09300000000000001,0.091,0.094,0.098,0.10099999999999999,0.102,0.102,0.102
Estonia,11.54,Europe,0.055999999999999994,0.055,0.055,0.052000000000000005,0.048,0.042,0.037000000000000005,0.032,0.027999999999999997,0.026000000000000002,0.026000000000000002,0.027000000000000003,0.03,0.031,0.031,0.03,0.028999999999999998,0.028999999999999998
Turkmenistan,12.5,Asia & Pacific,0.08199999999999999,0.076,0.069,0.06,0.053,0.048,0.046,0.044000000000000004,0.045,0.046,0.048,0.049,0.049,0.048,0.047,0.049,0.051,0.054000000000000006
Democratic People's Republic of Korea,14.35,Asia & Pacific,0.375,0.371,0.355,0.345,0.341,0.354,0.373,0.39299999999999996,0.408,0.415,0.418,0.418,0.42100000000000004,0.426,0.434,0.44299999999999995,0.45899999999999996,0.478
Argentina,15,South/Latin America,0.035,0.040999999999999995,0.049,0.053,0.052000000000000005,0.047,0.044000000000000004,0.042,0.040999999999999995,0.040999999999999995,0.04,0.039,0.037000000000000005,0.035,0.034,0.036000000000000004,0.040999999999999995,0.046
Dominica,19.23,South/Latin America,0.047,0.044000000000000004,0.046,0.05,0.055,0.057,0.055999999999999994,0.051,0.049,0.049,0.052000000000000005,0.055999999999999994,0.059000000000000004,0.062,0.063,0.065,0.064,0.062
Oman,21.43,Middle east,0.11900000000000001,0.115,0.11699999999999999,0.11699999999999999,0.113,0.105,0.095,0.083,0.071,0.061,0.055999999999999994,0.053,0.051,0.051,0.052000000000000005,0.055999999999999994,0.061,0.068
Vanuatu,22.03,Asia & Pacific,0.08199999999999999,0.081,0.08,0.077,0.07400000000000001,0.07,0.066,0.061,0.057999999999999996,0.057999999999999996,0.059000000000000004,0.061,0.063,0.065,0.067,0.069,0.071,0.07200000000000001
Zimbabwe,22.43,Africa,0.402,0.40399999999999997,0.408,0.415,0.419,0.42200000000000004,0.42100000000000004,0.426,0.43,0.428,0.419,0.413,0.42,0.441,0.469,0.495,0.509,0.513
Kenya,25.11,Africa,0.313,0.318,0.332,0.33,0.313,0.282,0.264,0.256,0.254,0.245,0.235,0.22699999999999998,0.22399999999999998,0.223,0.228,0.25,0.27399999999999997,0.294
Guinea-Bissau,26.13,Africa,0.257,0.244,0.242,0.245,0.24600000000000002,0.244,0.24100000000000002,0.237,0.233,0.228,0.222,0.222,0.226,0.239,0.253,0.266,0.27399999999999997,0.28
Mauritania,26.83,Arab States,0.11599999999999999,0.114,0.114,0.115,0.121,0.121,0.115,0.102,0.09300000000000001,0.087,0.08199999999999999,0.078,0.07200000000000001,0.071,0.07400000000000001,0.086,0.096,0.10400000000000001
Cyprus,30.23,Europe,0.035,0.039,0.044000000000000004,0.049,0.054000000000000006,0.057,0.055999999999999994,0.051,0.047,0.044000000000000004,0.043,0.043,0.048,0.054000000000000006,0.059000000000000004,0.06,0.057999999999999996,0.055999999999999994
Uganda,32.69,Africa,0.27699999999999997,0.27399999999999997,0.264,0.249,0.237,0.24100000000000002,0.258,0.281,0.29600000000000004,0.304,0.309,0.316,0.32299999999999995,0.33399999999999996,0.35100000000000003,0.375,0.397,0.41
Belize,33.93,South/Latin America,0.057999999999999996,0.05,0.047,0.045,0.046,0.046,0.049,0.053,0.055,0.055999999999999994,0.055999999999999994,0.057999999999999996,0.064,0.071,0.077,0.081,0.08,0.075
Afghanistan,34.84,Asia & Pacific,0.461,0.46399999999999997,0.43700000000000006,0.39799999999999996,0.361,0.332,0.301,0.27,0.245,0.22899999999999998,0.221,0.222,0.23199999999999998,0.25,0.26899999999999996,0.28600000000000003,0.295,0.298
Mauritius,35.42,Africa,0.066,0.063,0.06,0.057,0.055,0.052000000000000005,0.052000000000000005,0.05,0.049,0.047,0.048,0.051,0.055,0.055999999999999994,0.055999999999999994,0.057999999999999996,0.061,0.065
Madagascar,39.62,Africa,0.344,0.355,0.37,0.375,0.369,0.35,0.335,0.324,0.322,0.319,0.318,0.321,0.33399999999999996,0.35700000000000004,0.384,0.41100000000000003,0.43,0.444
South Africa,40.91,Africa,0.05,0.047,0.046,0.044000000000000004,0.043,0.044000000000000004,0.045,0.046,0.046,0.045,0.044000000000000004,0.044000000000000004,0.045,0.048,0.052000000000000005,0.057,0.061,0.062
Niger,46.02,Africa,0.21600000000000003,0.19699999999999998,0.185,0.171,0.159,0.151,0.14400000000000002,0.135,0.124,0.11699999999999999,0.113,0.109,0.106,0.10400000000000001,0.10300000000000001,0.11599999999999999,0.141,0.165
Jordan,48.78,Middle east,0.126,0.109,0.09,0.076,0.068,0.066,0.068,0.071,0.076,0.079,0.08199999999999999,0.086,0.095,0.10400000000000001,0.11199999999999999,0.11599999999999999,0.11800000000000001,0.122
Yemen,51.36,Middle east,0.299,0.301,0.306,0.31,0.309,0.301,0.289,0.276,0.27,0.262,0.257,0.253,0.262,0.282,0.314,0.344,0.375,0.389
Central African Republic,86.25,Africa,0.425,0.42,0.415,0.414,0.408,0.395,0.376,0.35600000000000004,0.337,0.324,0.32,0.33399999999999996,0.375,0.446,0.522,0.578,0.598,0.596
Nigeria,116.13,Africa,0.09300000000000001,0.09,0.09,0.083,0.07400000000000001,0.065,0.061,0.06,0.06,0.061,0.062,0.065,0.07,0.078,0.086,0.096,0.115,0.134
Lebanon,144.44,Middle east,NA,NA,0.025,0.028999999999999998,0.033,0.034,0.034,0.034,0.035,0.038,0.045,0.059000000000000004,0.076,0.094,0.105,0.111,0.11199999999999999,0.11
